Person;b1_crunchy;b1_creamy;b1_sweet;b1_chocolaty;b1_healthful;b1_calorie;b1_rich;b1_addiction;b1_accessible;b1_handy;b1_wrapping;b1_image;b1_commercial;b2_crunchy;b2_creamy;b2_sweet;b2_chocolaty;b2_healthful;b2_calorie;b2_rich;b2_addiction;b2_accessible;b2_handy;b2_wrapping;b2_image;b2_commercial;b3_crunchy;b3_creamy;b3_sweet;b3_chocolaty;b3_healthful;b3_calorie;b3_rich;b3_addiction;b3_accessible;b3_handy;b3_wrapping;b3_image;b3_commercial;b4_crunchy;b4_creamy;b4_sweet;b4_chocolaty;b4_healthful;b4_calorie;b4_rich;b4_addiction;b4_accessible;b4_handy;b4_wrapping;b4_image;b4_commercial;b5_crunchy;b5_creamy;b5_sweet;b5_chocolaty;b5_healthful;b5_calorie;b5_rich;b5_addiction;b5_accessible;b5_handy;b5_wrapping;b5_image;b5_commercial;b6_crunchy;b6_creamy;b6_sweet;b6_chocolaty;b6_healthful;b6_calorie;b6_rich;b6_addiction;b6_accessible;b6_handy;b6_wrapping;b6_image;b6_commercial;b7_crunchy;b7_creamy;b7_sweet;b7_chocolaty;b7_healthful;b7_calorie;b7_rich;b7_addiction;b7_accessible;b7_handy;b7_wrapping;b7_image;b7_commercial;b8_crunchy;b8_creamy;b8_sweet;b8_chocolaty;b8_healthful;b8_calorie;b8_rich;b8_addiction;b8_accessible;b8_handy;b8_wrapping;b8_image;b8_commercial;b9_crunchy;b9_creamy;b9_sweet;b9_chocolaty;b9_healthful;b9_calorie;b9_rich;b9_addiction;b9_accessible;b9_handy;b9_wrapping;b9_image;b9_commercial;bb_crunchy;bb_creamy;bb_sweet;bb_chocolaty;bb_healthful;bb_calorie;bb_rich;bb_addiction;bb_accessible;bb_handy;bb_wrapping;bb_image;bb_commercial
1;3;3;4;3;1;4;4;2;4;4;4;4;5;4;4;5;4;1;5;4;3;3;2;3;4;1;4;4;4;4;1;4;4;4;4;4;4;4;4;2;4;4;4;2;4;4;4;4;4;4;3;3;4;2;3;4;2;4;3;3;4;4;4;4;4;2;4;5;3;2;4;3;3;3;4;4;3;3;3;3;4;5;3;4;4;5;4;4;4;4;3;5;2;3;3;3;4;4;3;3;3;2;3;3;3;4;4;4;2;4;4;4;4;4;4;4;3;4;3;4;4;2;4;4;4;4;4;4;3;3
2;3;4;5;3;1;5;5;1;5;5;4;5;5;4;4;5;3;1;5;5;1;5;5;4;2;2;5;2;5;4;1;5;5;1;5;5;5;3;4;1;5;5;3;1;5;5;1;5;5;4;3;3;5;3;5;4;1;5;5;1;5;5;4;2;2;1;3;5;3;1;5;5;1;5;5;5;2;2;1;5;5;4;1;5;5;1;5;5;4;5;5;4;1;5;2;1;5;5;1;5;5;3;2;3;4;3;5;3;1;5;5;1;5;5;4;4;4;4;3;5;4;1;5;5;1;5;5;3;4;4
3;;;;;;;;;;;;;;4;5;5;5;1;4;1;4;4;4;4;4;2;4;4;4;4;1;4;1;2;4;4;2;2;;2;5;5;5;1;5;1;2;4;4;3;3;2;5;2;5;5;1;5;1;4;4;4;3;2;5;2;4;5;4;1;5;1;1;4;3;4;2;4;2;5;5;5;2;5;1;5;4;4;4;5;5;4;2;4;4;2;5;3;1;4;4;3;2;;4;4;4;4;1;5;1;2;4;4;4;1;;4;2;5;5;1;5;1;4;4;4;4;2;5
4;4;4;5;5;1;4;4;3;4;4;4;4;5;2;4;4;5;2;4;4;5;4;2;3;3;1;4;2;4;3;1;3;4;2;4;3;4;4;5;1;4;4;3;1;4;4;3;4;4;4;4;5;3;3;5;5;2;4;4;3;4;2;3;4;4;1;3;4;1;1;3;4;;3;4;4;2;2;1;5;5;5;2;4;4;5;5;5;5;5;3;4;2;4;4;3;4;4;2;2;3;4;3;2;3;4;5;5;2;5;4;2;3;4;4;2;4;3;2;5;5;2;4;4;5;3;4;4;5;5
5;3;3;4;3;1;4;3;2;4;4;2;4;4;5;5;5;5;3;4;5;5;5;5;5;4;4;5;5;5;5;3;4;5;5;5;5;5;5;5;3;5;5;5;3;4;3;3;5;5;3;5;5;5;4;5;5;4;4;4;4;5;5;4;5;5;;;;;;;;;;;;;;2;5;5;5;4;4;4;4;5;5;5;5;5;5;4;5;5;4;4;5;2;3;5;5;3;3;5;5;5;5;3;4;5;5;5;5;5;5;5;3;5;5;5;3;4;4;5;5;5;5;5;5
6;2;3;4;3;1;5;4;3;4;5;3;5;5;4;4;4;3;2;5;4;3;3;4;4;5;4;5;3;5;4;2;5;3;2;4;3;5;5;5;2;5;5;4;2;5;5;3;4;5;4;5;4;5;3;5;3;2;5;3;4;4;4;3;5;5;3;4;5;3;2;5;4;3;3;4;5;4;3;2;4;5;5;2;5;4;5;5;5;4;5;5;5;3;4;4;3;5;3;3;3;4;5;4;4;5;3;5;4;2;5;4;3;3;3;4;5;4;4;3;5;4;2;5;4;5;5;5;4;5;5
7;4;4;4;4;2;4;4;3;4;;3;4;4;2;5;4;4;2;4;3;;4;;3;3;3;2;4;4;3;2;4;4;;4;;4;4;;2;4;4;4;2;4;4;;4;;4;4;;2;2;4;2;2;4;3;;4;;3;4;4;3;2;4;3;2;4;4;;4;;3;4;;2;3;4;3;2;4;3;;4;;3;4;4;4;2;4;3;2;4;3;;3;;3;3;;2;4;4;3;2;4;4;;3;;3;2;;2;2;4;3;2;4;3;;4;;2;4;4
8;5;5;5;5;1;5;2;1;5;3;5;5;;5;5;5;5;;5;5;2;2;2;2;5;5;5;5;5;5;5;5;4;5;5;4;4;5;5;5;5;5;5;;5;5;5;5;5;1;5;5;5;5;5;5;;5;3;;5;5;4;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;5;5;5;5;2;5;3;1;;;;5;5;5;2;5;5;1;4;4;1;4;4;4;5;5
9;5;1;4;5;1;5;;;5;5;5;5;;5;5;5;5;1;5;;5;1;1;5;4;;5;4;4;2;1;5;;3;4;2;2;3;;1;1;4;2;1;5;;2;4;5;5;4;;4;2;2;2;1;5;;2;4;1;4;4;;1;1;1;1;1;1;;1;1;1;1;1;;1;5;5;5;1;5;;5;5;4;2;4;;5;1;4;4;1;5;;2;2;1;2;3;;1;1;1;1;1;5;;1;1;1;1;1;;5;5;5;5;1;5;;2;2;4;4;4;
10;3;4;5;5;1;5;5;4;4;3;3;5;5;3;4;5;4;1;5;5;4;4;3;4;2;1;4;4;5;3;1;5;5;5;4;4;4;4;4;2;3;5;4;1;5;5;4;3;5;3;3;3;5;3;5;5;1;5;4;3;3;3;2;4;5;2;5;5;4;1;5;5;4;4;5;4;3;2;1;5;5;5;1;5;5;5;4;5;5;5;5;4;5;4;4;1;5;5;4;4;5;4;3;5;4;4;5;5;1;5;5;3;3;5;3;2;2;5;2;5;5;1;5;5;4;4;5;4;3;3
11;4;4;4;4;1;4;4;3;4;4;4;4;3;3;3;3;3;1;4;4;1;4;4;4;3;3;4;3;3;4;1;4;4;3;4;4;4;3;3;3;4;4;4;1;4;4;4;4;4;4;3;3;3;3;4;4;1;4;4;3;4;4;4;3;3;3;4;4;4;1;4;4;4;4;4;4;3;3;4;5;5;5;1;4;4;5;5;5;5;5;5;4;2;3;3;4;4;3;3;4;4;4;3;4;4;4;4;4;1;4;4;3;4;4;4;3;3;4;2;4;4;1;4;4;3;4;4;4;3;3
12;4;3;5;4;5;5;5;3;4;5;5;5;3;5;5;5;2;4;4;4;5;5;5;5;4;4;5;4;5;3;4;5;5;3;5;5;5;5;5;1;5;5;3;5;5;5;5;4;5;5;5;5;5;1;5;4;4;3;3;2;5;5;5;5;5;1;4;5;4;5;5;4;5;5;5;5;5;2;2;5;5;5;4;4;3;5;5;5;5;5;5;5;2;5;3;4;5;4;2;4;5;5;5;5;4;3;5;4;4;5;5;3;5;5;5;5;5;5;4;5;5;4;4;4;5;5;5;5;5;5
